Common labels: {"component":"loki.source.syslog","protocol":"udp"}
Line limit: "5000 reached, received logs cover 5.54% (6sec) of your selected time range (1min 50sec)"
Total bytes processed: "1.05  MB"
2026-04-07 15:00:44.292	audit: type=1400 audit(1775564810.987:2395): apparmor="DENIED" operation="capable" profile="snap.ctrlx-linck-linckdc.publisher" pid=1576463 comm="python3" capability=12  capname="net_admin"

2026-04-07 15:00:44.292	snapd.service: Killing process 1545318 (snapd) with signal SIGABRT.

2026-04-07 15:00:44.292	AVC apparmor="DENIED" operation="capable" profile="snap.ctrlx-linck-linckdc.publisher" pid=1576463 comm="python3" capability=12  capname="net_admin"

2026-04-07 15:00:44.292	2026-04-07T12:19:26.105068Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.292	SIGABRT: abort

2026-04-07 15:00:44.292	PC=0x558e38f918 m=2 sigcode=0

2026-04-07 15:00:44.292	goroutine 0 gp=0x4000002a80 m=2 mp=0x400006c708 [idle]:

2026-04-07 15:00:44.292	runtime.usleep(0x2710)

2026-04-07 15:00:44.292		/snap/go/10901/src/runtime/sys_linux_arm64.s:139 +0x48 fp=0x7f7246d6c0 sp=0x7f7246d690 pc=0x558e38f918

2026-04-07 15:00:44.292	runtime.sysmon()

2026-04-07 15:00:44.293		/snap/go/10901/src/runtime/proc.go:6063 +0xdc fp=0x7f7246d730 sp=0x7f7246d6c0 pc=0x558e35bb8c

2026-04-07 15:00:44.293	runtime.mstart1()

2026-04-07 15:00:44.293		/snap/go/10901/src/runtime/proc.go:1834 +0x88 fp=0x7f7246d760 sp=0x7f7246d730 pc=0x558e3517b8

2026-04-07 15:00:44.293	runtime.mstart0()

2026-04-07 15:00:44.293		/snap/go/10901/src/runtime/proc.go:1791 +0x68 fp=0x7f7246d790 sp=0x7f7246d760 pc=0x558e351708

2026-04-07 15:00:44.293	runtime.mstart()

2026-04-07 15:00:44.293		/snap/go/10901/src/runtime/asm_arm64.s:129 +0x10 fp=0x7f7246d7a0 sp=0x7f7246d790 pc=0x558e38c570

2026-04-07 15:00:44.293	goroutine 1 gp=0x40000021c0 m=nil [select, 378 minutes]:

2026-04-07 15:00:44.293	runtime.gopark(0x4000993e40?, 0x3?, 0xc8?, 0x3c?, 0x4000993de2?)

2026-04-07 15:00:44.296		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x4000a85c70 sp=0x4000a85c50 pc=0x558e3864a8

2026-04-07 15:00:44.296	runtime.selectgo(0x4000a85e40, 0x4000993ddc, 0x4000993e90?, 0x0, 0xee166966f?, 0x1)

2026-04-07 15:00:44.296		/snap/go/10901/src/runtime/select.go:335 +0x67c fp=0x4000a85da0 sp=0x4000a85c70 pc=0x558e361c3c

2026-04-07 15:00:44.296	main.run(0x4000573e30)

2026-04-07 15:00:44.296		/build/snapd/parts/snapd/build/cmd/snapd/main.go:166 +0x338 fp=0x4000a85eb0 sp=0x4000a85da0 pc=0x558ee04408

2026-04-07 15:00:44.296	main.main()

2026-04-07 15:00:44.296		/build/snapd/parts/snapd/build/cmd/snapd/main.go:68 +0x148 fp=0x4000a85f40 sp=0x4000a85eb0 pc=0x558ee03d38

2026-04-07 15:00:44.296	runtime.main()

2026-04-07 15:00:44.296		/snap/go/10901/src/runtime/proc.go:272 +0x288 fp=0x4000a85fd0 sp=0x4000a85f40 pc=0x558e34e1c8

2026-04-07 15:00:44.296	runtime.goexit({})

2026-04-07 15:00:44.298		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x4000a85fd0 sp=0x4000a85fd0 pc=0x558e38eb24

2026-04-07 15:00:44.299	goroutine 2 gp=0x4000002c40 m=nil [force gc (idle), 6 minutes]:

2026-04-07 15:00:44.299	runtime.gopark(0x8965686be0721?, 0x0?, 0x0?, 0x0?, 0x0?)

2026-04-07 15:00:44.299		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x4000066f90 sp=0x4000066f70 pc=0x558e3864a8

2026-04-07 15:00:44.299	runtime.goparkunlock(...)

2026-04-07 15:00:44.299		/snap/go/10901/src/runtime/proc.go:430

2026-04-07 15:00:44.299	runtime.forcegchelper()

2026-04-07 15:00:44.299		/snap/go/10901/src/runtime/proc.go:337 +0xb8 fp=0x4000066fd0 sp=0x4000066f90 pc=0x558e34e528

2026-04-07 15:00:44.299	runtime.goexit({})

2026-04-07 15:00:44.301	    await wrap_app_handling_exceptions(self.app, conn)(scope, receive, send)

2026-04-07 15:00:44.301	    raise exc

2026-04-07 15:00:44.301	    await app(scope, receive, sender)

2026-04-07 15:00:44.301	    await self.middleware_stack(scope, receive, send)

2026-04-07 15:00:44.302	    await route.handle(scope, receive, send)

2026-04-07 15:00:44.303	    await self.app(scope, receive, send)

2026-04-07 15:00:44.303	    await super().__call__(scope, receive, send)

2026-04-07 15:00:44.303	    await self.middleware_stack(scope, receive, send)

2026-04-07 15:00:44.303	    raise exc

2026-04-07 15:00:44.303	    await self.app(scope, receive, _send)

2026-04-07 15:00:44.305	    await wrap_app_handling_exceptions(self.app, conn)(scope, receive, send)

2026-04-07 15:00:44.305	    raise exc

2026-04-07 15:00:44.305	2026-04-07T12:19:26.115370Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.305		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x4000066fd0 sp=0x4000066fd0 pc=0x558e38eb24

2026-04-07 15:00:44.305	created by runtime.init.7 in goroutine 1

2026-04-07 15:00:44.305		/snap/go/10901/src/runtime/proc.go:325 +0x24

2026-04-07 15:00:44.305	goroutine 18 gp=0x4000104380 m=nil [GC sweep wait, 6 minutes]:

2026-04-07 15:00:44.305	runtime.gopark(0x558fe1a901?, 0x558fe1a9a0?, 0xc?, 0x9?, 0x1?)

2026-04-07 15:00:44.305		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x4000062760 sp=0x4000062740 pc=0x558e3864a8

2026-04-07 15:00:44.307	runtime.goparkunlock(...)

2026-04-07 15:00:44.307		/snap/go/10901/src/runtime/proc.go:430

2026-04-07 15:00:44.307	runtime.bgsweep(0x4000112000)

2026-04-07 15:00:44.307		/snap/go/10901/src/runtime/mgcsweep.go:317 +0x108 fp=0x40000627b0 sp=0x4000062760 pc=0x558e336098

2026-04-07 15:00:44.307	runtime.gcenable.gowrap1()

2026-04-07 15:00:44.307		/snap/go/10901/src/runtime/mgc.go:204 +0x28 fp=0x40000627d0 sp=0x40000627b0 pc=0x558e329fb8

2026-04-07 15:00:44.307	runtime.goexit({})

2026-04-07 15:00:44.307		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x40000627d0 sp=0x40000627d0 pc=0x558e38eb24

2026-04-07 15:00:44.307	created by runtime.gcenable in goroutine 1

2026-04-07 15:00:44.307		/snap/go/10901/src/runtime/mgc.go:204 +0x6c

2026-04-07 15:00:44.308	goroutine 19 gp=0x4000104540 m=nil [runnable]:

2026-04-07 15:00:44.308	runtime.(*scavengerState).init.func2(0x10000)

2026-04-07 15:00:44.308		/snap/go/10901/src/runtime/mgcscavenge.go:393 +0xcc fp=0x4000062f60 sp=0x4000062f60 pc=0x558e37ddac

2026-04-07 15:00:44.309	runtime.(*scavengerState).run(0x558fe1b560)

2026-04-07 15:00:44.309		/snap/go/10901/src/runtime/mgcscavenge.go:602 +0x94 fp=0x4000062f90 sp=0x4000062f60 pc=0x558e333e64

2026-04-07 15:00:44.309	runtime.bgscavenge(0x4000112000)

2026-04-07 15:00:44.309		/snap/go/10901/src/runtime/mgcscavenge.go:656 +0x50 fp=0x4000062fb0 sp=0x4000062f90 pc=0x558e333f90

2026-04-07 15:00:44.309	runtime.gcenable.gowrap2()

2026-04-07 15:00:44.309		/snap/go/10901/src/runtime/mgc.go:205 +0x28 fp=0x4000062fd0 sp=0x4000062fb0 pc=0x558e329f58

2026-04-07 15:00:44.309	runtime.goexit({})

2026-04-07 15:00:44.310		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x4000062fd0 sp=0x4000062fd0 pc=0x558e38eb24

2026-04-07 15:00:44.310	created by runtime.gcenable in goroutine 1

2026-04-07 15:00:44.310		/snap/go/10901/src/runtime/mgc.go:205 +0xac

2026-04-07 15:00:44.310	goroutine 20 gp=0x4000104a80 m=nil [finalizer wait, 6 minutes]:

2026-04-07 15:00:44.310	runtime.gopark(0x0?, 0x558f638e28?, 0x40?, 0x60?, 0x2000000020?)

2026-04-07 15:00:44.310		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x4000d06d80 sp=0x4000d06d60 pc=0x558e3864a8

2026-04-07 15:00:44.310	runtime.runfinq()

2026-04-07 15:00:44.310	    await app(scope, receive, sender)

2026-04-07 15:00:44.322	    await self.middleware_stack(scope, receive, send)

2026-04-07 15:00:44.322	    await route.handle(scope, receive, send)

2026-04-07 15:00:44.322	    await self.app(scope, receive, send)

2026-04-07 15:00:44.322	    await wrap_app_handling_exceptions(app, request)(scope, receive, send)

2026-04-07 15:00:44.322	    raise exc

2026-04-07 15:00:44.323	    await app(scope, receive, sender)

2026-04-07 15:00:44.324	    return await dependant.call(**values)

2026-04-07 15:00:44.325	    self.influxdb.store_data(body, mappedTopic, self.bucket)

2026-04-07 15:00:44.325	2026-04-07T12:19:36.125845Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.325		/snap/go/10901/src/runtime/mfinal.go:193 +0x108 fp=0x4000d06fd0 sp=0x4000d06d80 pc=0x558e3290b8

2026-04-07 15:00:44.325	runtime.goexit({})

2026-04-07 15:00:44.325		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x4000d06fd0 sp=0x4000d06fd0 pc=0x558e38eb24

2026-04-07 15:00:44.325	created by runtime.createfing in goroutine 1

2026-04-07 15:00:44.325		/snap/go/10901/src/runtime/mfinal.go:163 +0x80

2026-04-07 15:00:44.325	goroutine 21 gp=0x4000104fc0 m=nil [chan receive]:

2026-04-07 15:00:44.325	runtime.gopark(0x558f6399f0?, 0x400011a4c0?, 0xe?, 0x7?, 0x2?)

2026-04-07 15:00:44.326		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x40000636f0 sp=0x40000636d0 pc=0x558e3864a8

2026-04-07 15:00:44.326	runtime.chanrecv(0x400011a460, 0x0, 0x1)

2026-04-07 15:00:44.326		/snap/go/10901/src/runtime/chan.go:639 +0x414 fp=0x4000063770 sp=0x40000636f0 pc=0x558e319ce4

2026-04-07 15:00:44.326	runtime.chanrecv1(0x0?, 0x0?)

2026-04-07 15:00:44.327		/snap/go/10901/src/runtime/chan.go:489 +0x14 fp=0x40000637a0 sp=0x4000063770 pc=0x558e319894

2026-04-07 15:00:44.328	runtime.unique_runtime_registerUniqueMapCleanup.func1(...)

2026-04-07 15:00:44.328		/snap/go/10901/src/runtime/mgc.go:1781

2026-04-07 15:00:44.328	runtime.unique_runtime_registerUniqueMapCleanup.gowrap1()

2026-04-07 15:00:44.328		/snap/go/10901/src/runtime/mgc.go:1784 +0x3c fp=0x40000637d0 sp=0x40000637a0 pc=0x558e32d0dc

2026-04-07 15:00:44.328	runtime.goexit({})

2026-04-07 15:00:44.329		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x40000637d0 sp=0x40000637d0 pc=0x558e38eb24

2026-04-07 15:00:44.329	created by unique.runtime_registerUniqueMapCleanup in goroutine 1

2026-04-07 15:00:44.329		/snap/go/10901/src/runtime/mgc.go:1779 +0xa0

2026-04-07 15:00:44.329	goroutine 22 gp=0x4000105500 m=nil [GC worker (idle), 6 minutes]:

2026-04-07 15:00:44.329	runtime.gopark(0x558fe44b80?, 0x1?, 0x87?, 0xc2?, 0x0?)

2026-04-07 15:00:44.329		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x400007ef10 sp=0x400007eef0 pc=0x558e3864a8

2026-04-07 15:00:44.329	runtime.gcBgMarkWorker(0x400011aa80)

2026-04-07 15:00:44.329		/snap/go/10901/src/runtime/mgc.go:1412 +0xdc fp=0x400007efb0 sp=0x400007ef10 pc=0x558e32c34c

2026-04-07 15:00:44.329	runtime.gcBgMarkStartWorkers.gowrap1()

2026-04-07 15:00:44.329		/snap/go/10901/src/runtime/mgc.go:1328 +0x28 fp=0x400007efd0 sp=0x400007efb0 pc=0x558e32c238

2026-04-07 15:00:44.330	runtime.goexit({})

2026-04-07 15:00:44.330		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x400007efd0 sp=0x400007efd0 pc=0x558e38eb24

2026-04-07 15:00:44.331	created by runtime.gcBgMarkStartWorkers in goroutine 1

2026-04-07 15:00:44.331		/snap/go/10901/src/runtime/mgc.go:1328 +0x140

2026-04-07 15:00:44.331	goroutine 34 gp=0x400020c000 m=nil [GC worker (idle), 6 minutes]:

2026-04-07 15:00:44.331	    write_api.write(bucket=bucket, org=self.influx_client.org.id, record=points, write_precision=WritePrecision.NS)

2026-04-07 15:00:44.331	    return self._post_write(_async_req, bucket, org, final_string, payload[0])

2026-04-07 15:00:44.335	    return self._write_service.post_write(org=org, bucket=bucket, body=body, precision=precision,

2026-04-07 15:00:44.335	    return self.api_client.call_api(

2026-04-07 15:00:44.335	    return self.__call_api(resource_path, method,

2026-04-07 15:00:44.336	    return self.rest_client.POST(url,

2026-04-07 15:00:44.336	2026-04-07T12:19:36.136182Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.336	runtime.gopark(0x558fe44b80?, 0x1?, 0x8c?, 0x35?, 0x0?)

2026-04-07 15:00:44.336		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x4000212710 sp=0x40002126f0 pc=0x558e3864a8

2026-04-07 15:00:44.336	runtime.gcBgMarkWorker(0x400011aa80)

2026-04-07 15:00:44.338		/snap/go/10901/src/runtime/mgc.go:1412 +0xdc fp=0x40002127b0 sp=0x4000212710 pc=0x558e32c34c

2026-04-07 15:00:44.338	runtime.gcBgMarkStartWorkers.gowrap1()

2026-04-07 15:00:44.338		/snap/go/10901/src/runtime/mgc.go:1328 +0x28 fp=0x40002127d0 sp=0x40002127b0 pc=0x558e32c238

2026-04-07 15:00:44.338	runtime.goexit({})

2026-04-07 15:00:44.338		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x40002127d0 sp=0x40002127d0 pc=0x558e38eb24

2026-04-07 15:00:44.338	created by runtime.gcBgMarkStartWorkers in goroutine 1

2026-04-07 15:00:44.338		/snap/go/10901/src/runtime/mgc.go:1328 +0x140

2026-04-07 15:00:44.338	goroutine 3 gp=0x4000447180 m=nil [GC worker (idle), 6 minutes]:

2026-04-07 15:00:44.338	runtime.gopark(0x558f639a68?, 0x400020a020?, 0x1a?, 0xa?, 0x0?)

2026-04-07 15:00:44.338		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x4000067710 sp=0x40000676f0 pc=0x558e3864a8

2026-04-07 15:00:44.339	runtime.gcBgMarkWorker(0x400011aa80)

2026-04-07 15:00:44.339		/snap/go/10901/src/runtime/mgc.go:1412 +0xdc fp=0x40000677b0 sp=0x4000067710 pc=0x558e32c34c

2026-04-07 15:00:44.339	runtime.gcBgMarkStartWorkers.gowrap1()

2026-04-07 15:00:44.339		/snap/go/10901/src/runtime/mgc.go:1328 +0x28 fp=0x40000677d0 sp=0x40000677b0 pc=0x558e32c238

2026-04-07 15:00:44.339	runtime.goexit({})

2026-04-07 15:00:44.339		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x40000677d0 sp=0x40000677d0 pc=0x558e38eb24

2026-04-07 15:00:44.339	created by runtime.gcBgMarkStartWorkers in goroutine 1

2026-04-07 15:00:44.339		/snap/go/10901/src/runtime/mgc.go:1328 +0x140

2026-04-07 15:00:44.339	goroutine 35 gp=0x400020c1c0 m=nil [GC worker (idle), 6 minutes]:

2026-04-07 15:00:44.339	runtime.gopark(0x558f639a68?, 0x4000047fa0?, 0x1a?, 0xa?, 0x0?)

2026-04-07 15:00:44.341		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x400007ff10 sp=0x400007fef0 pc=0x558e3864a8

2026-04-07 15:00:44.341	runtime.gcBgMarkWorker(0x400011aa80)

2026-04-07 15:00:44.341		/snap/go/10901/src/runtime/mgc.go:1412 +0xdc fp=0x400007ffb0 sp=0x400007ff10 pc=0x558e32c34c

2026-04-07 15:00:44.341	runtime.gcBgMarkStartWorkers.gowrap1()

2026-04-07 15:00:44.341		/snap/go/10901/src/runtime/mgc.go:1328 +0x28 fp=0x400007ffd0 sp=0x400007ffb0 pc=0x558e32c238

2026-04-07 15:00:44.341	runtime.goexit({})

2026-04-07 15:00:44.341		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x400007ffd0 sp=0x400007ffd0 pc=0x558e38eb24

2026-04-07 15:00:44.341	created by runtime.gcBgMarkStartWorkers in goroutine 1

2026-04-07 15:00:44.341		/snap/go/10901/src/runtime/mgc.go:1328 +0x140

2026-04-07 15:00:44.341	    return self.request_encode_body(

2026-04-07 15:00:44.341	    return self.urlopen(method, url, **extra_kw)

2026-04-07 15:00:44.341	    raise reraise(type(error), error, _stacktrace)

2026-04-07 15:00:44.343	    raise value.with_traceback(tb)

2026-04-07 15:00:44.343	    conn.request(

2026-04-07 15:00:44.343	    self.send(chunk)

2026-04-07 15:00:44.343	    self.sock.sendall(data)

2026-04-07 15:00:44.343	urllib3.exceptions.ProtocolError: ('Connection aborted.', TimeoutError('timed out'))

2026-04-07 15:00:44.344	2026-04-07T12:19:36.146479Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.344	goroutine 40 gp=0x4000104c40 m=nil [select, 378 minutes, locked to thread]:

2026-04-07 15:00:44.344	runtime.gopark(0x40000687a0?, 0x2?, 0x98?, 0x86?, 0x400006878c?)

2026-04-07 15:00:44.344		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x4000068610 sp=0x40000685f0 pc=0x558e3864a8

2026-04-07 15:00:44.344	runtime.selectgo(0x40000687a0, 0x4000068788, 0x0?, 0x0, 0x0?, 0x1)

2026-04-07 15:00:44.344		/snap/go/10901/src/runtime/select.go:335 +0x67c fp=0x4000068740 sp=0x4000068610 pc=0x558e361c3c

2026-04-07 15:00:44.344	runtime.ensureSigM.func1()

2026-04-07 15:00:44.344		/snap/go/10901/src/runtime/signal_unix.go:1077 +0x198 fp=0x40000687d0 sp=0x4000068740 pc=0x558e37d468

2026-04-07 15:00:44.344	runtime.goexit({})

2026-04-07 15:00:44.344		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x40000687d0 sp=0x40000687d0 pc=0x558e38eb24

2026-04-07 15:00:44.345	created by runtime.ensureSigM in goroutine 1

2026-04-07 15:00:44.345		/snap/go/10901/src/runtime/signal_unix.go:1060 +0xd8

2026-04-07 15:00:44.345	goroutine 4 gp=0x400020c700 m=3 mp=0x400006ce08 [syscall, 378 minutes]:

2026-04-07 15:00:44.345	runtime.notetsleepg(0x558fe44080, 0xffffffffffffffff)

2026-04-07 15:00:44.345		/snap/go/10901/src/runtime/lock_futex.go:246 +0x34 fp=0x4000064f90 sp=0x4000064f60 pc=0x558e31f444

2026-04-07 15:00:44.345	os/signal.signal_recv()

2026-04-07 15:00:44.346		/snap/go/10901/src/runtime/sigqueue.go:152 +0x30 fp=0x4000064fb0 sp=0x4000064f90 pc=0x558e388690

2026-04-07 15:00:44.346	os/signal.loop()

2026-04-07 15:00:44.346		/snap/go/10901/src/os/signal/signal_unix.go:23 +0x1c fp=0x4000064fd0 sp=0x4000064fb0 pc=0x558e43088c

2026-04-07 15:00:44.346	runtime.goexit({})

2026-04-07 15:00:44.347		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x4000064fd0 sp=0x4000064fd0 pc=0x558e38eb24

2026-04-07 15:00:44.347	created by os/signal.Notify.func1.1 in goroutine 1

2026-04-07 15:00:44.347		/snap/go/10901/src/os/signal/signal.go:151 +0x28

2026-04-07 15:00:44.347	goroutine 47 gp=0x400020cfc0 m=nil [chan receive, 378 minutes]:

2026-04-07 15:00:44.347	runtime.gopark(0x558f4aba80?, 0x0?, 0x98?, 0xc7?, 0x558e78a430?)

2026-04-07 15:00:44.347		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x40004ec6f0 sp=0x40004ec6d0 pc=0x558e3864a8

2026-04-07 15:00:44.347	runtime.chanrecv(0x40005e4d20, 0x0, 0x1)

2026-04-07 15:00:44.347		/snap/go/10901/src/runtime/chan.go:639 +0x414 fp=0x40004ec770 sp=0x40004ec6f0 pc=0x558e319ce4

2026-04-07 15:00:44.347	runtime.chanrecv1(0x400052d450?, 0x558e38eb24?)

2026-04-07 15:00:44.347		/snap/go/10901/src/runtime/chan.go:489 +0x14 fp=0x40004ec7a0 sp=0x40004ec770 pc=0x558e319894

2026-04-07 15:00:44.348	github.com/godbus/dbus/v5.newConn.func1()

2026-04-07 15:00:44.348	2026-04-07T12:19:36.156785Z||080F0602|Trace error web.automation.verifier|||webserver|Automation Core|web.automation.verifier|token_verifier.cpp|validateToken|95|Verifier timeout

2026-04-07 15:00:44.348		/build/snapd/parts/snapd/build/vendor/github.com/godbus/dbus/v5/conn.go:303 +0x38 fp=0x40004ec7d0 sp=0x40004ec7a0 pc=0x558e78a438

2026-04-07 15:00:44.348	runtime.goexit({})

2026-04-07 15:00:44.348		/snap/go/10901/src/runtime/asm_arm64.s:1223 +0x4 fp=0x40004ec7d0 sp=0x40004ec7d0 pc=0x558e38eb24

2026-04-07 15:00:44.348	created by github.com/godbus/dbus/v5.newConn in goroutine 84

2026-04-07 15:00:44.348		/build/snapd/parts/snapd/build/vendor/github.com/godbus/dbus/v5/conn.go:302 +0x4b0

2026-04-07 15:00:44.348	goroutine 62337 gp=0x4000446000 m=nil [sync.Mutex.Lock, 8 minutes]:

2026-04-07 15:00:44.348	runtime.gopark(0x4000784578?, 0x558e6d6ab8?, 0x72?, 0x52?, 0x6?)

2026-04-07 15:00:44.348		/snap/go/10901/src/runtime/proc.go:424 +0xc8 fp=0x40007844f0 sp=0x40007844d0 pc=0x558e3864a8

2026-04-07 15:00:44.349	runtime.goparkunlock(...)

2026-04-07 15:00:44.349		/snap/go/10901/src/runtime/proc.go:430

2026-04-07 15:00:44.349	runtime.semacquire1(0x40005bc1e4, 0x0, 0x3, 0x1, 0x15)

2026-04-07 15:00:44.349		/snap/go/10901/src/runtime/sema.go:178 +0x208 fp=0x4000784540 sp=0x40007844f0 pc=0x558e362ad8

2026-04-07 15:00:44.349	sync.runtime_SemacquireMutex(0x4000555272?, 0x6?, 0x558ee10072?)

2026-04-07 15:00:44.349		/snap/go/10901/src/runtime/sema.go:95 +0x28 fp=0x4000784580 sp=0x4000784540 pc=0x558e387bc8

2026-04-07 15:00:44.349	sync.(*Mutex).lockSlow(0x40005bc1e0)

2026-04-07 15:00:44.349		/snap/go/10901/src/sync/mutex.go:173 +0x174 fp=0x40007845d0 sp=0x4000784580 pc=0x558e39ae34

2026-04-07 15:00:44.349	sync.(*Mutex).Lock(...)

2026-04-07 15:00:44.349		/snap/go/10901/src/sync/mutex.go:92

2026-04-07 15:00:44.350	github.com/snapcore/snapd/overlord/state.(*State).Lock(0x40005bc1e0)

2026-04-07 15:00:44.350		/build/snapd/parts/snapd/build/overlord/state/state.go:160 +0x70 fp=0x40007845f0 sp=0x40007845d0 pc=0x558e9ae2d0

2026-04-07 15:00:44.350	github.com/snapcore/snapd/daemon.storeFrom(0x4000555272?)

2026-04-07 15:00:44.350		/build/snapd/parts/snapd/build/daemon/api.go:181 +0x38 fp=0x4000784650 sp=0x40007845f0 pc=0x558edaf618

